"Symbol","Timestamp","Date","Time","Open","High","Low","Close","HL2","CandleSize","Change","EMA","EMAChange","RSI","RSIChange","SlowRSI","SlowRSIChange","MACD","MACDChange"
"xauusd",2006-03-18,"2006-03-18","00:00",554,554,553.95,553.95,553.975,9.02608538675955e-05,,,,,,,,,
"xauusd",2006-03-19,"2006-03-19","00:00",554,554.05,553.95,554.05,554,0.000180489125530023,0.0180521707735082,,,,,,,,
"xauusd",2006-03-20,"2006-03-20","00:00",554.05,556.5,550.05,554.35,553.275,0.0116352484892217,0.0541467376590665,,,,,,,,
"xauusd",2006-03-21,"2006-03-21","00:00",554.25,555.15,547.05,552.5,551.1,0.0146606334841629,-0.333724181473805,,,,,,,,
"xauusd",2006-03-22,"2006-03-22","00:00",552.6,553.55,546.95,550.9,550.25,0.0119803957161008,-0.289592760181001,,,,,,,,
"xauusd",2006-03-23,"2006-03-23","00:00",550.9,551.45,544.35,550.1,547.9,0.0129067442283222,-0.145216917770907,,,,,,,,
"xauusd",2006-03-24,"2006-03-24","00:00",549.9,561.35,548.95,560.45,555.15,0.0221250780622713,1.88147609525542,,,,,,,,
"xauusd",2006-03-26,"2006-03-26","00:00",560.45,560.45,560.45,560.45,560.45,0,0,,,,,,,,
"xauusd",2006-03-27,"2006-03-27","00:00",560.45,568.75,558.65,567,563.7,0.0178130511463845,1.16870372022482,,,,,,,,
"xauusd",2006-03-28,"2006-03-28","00:00",566.9,569.65,562.65,564.05,566.15,0.0124102473185001,-0.520282186948862,556.78,,,,,,,
"xauusd",2006-03-29,"2006-03-29","00:00",563.95,574.25,560.25,572.55,567.25,0.0244520129246354,1.50695860296073,559.647272727273,0.514974088019104,,,,,,
"xauusd",2006-03-30,"2006-03-30","00:00",572.45,589.55,571.45,588.3,580.5,0.0307666156722759,2.75085145402147,564.856859504132,0.930869680016877,,,,,,
"xauusd",2006-03-31,"2006-03-31","00:00",588.2,588.65,579.05,583.65,583.85,0.0164482138267798,-0.790413054563999,568.273794139744,0.604920446325452,,,,,,
"xauusd",2006-04-02,"2006-04-02","00:00",583.65,583.65,583.6,583.6,583.625,8.567511994509e-05,-0.00856677803476869,571.060377023427,0.490359209314084,,,,,,
"xauusd",2006-04-03,"2006-04-03","00:00",583.6,591.95,582.25,588.8,587.1,0.0164741847826088,0.891021247429724,574.285763019168,0.564806476777879,,,,,,
"xauusd",2006-04-04,"2006-04-04","00:00",589,590.45,584.85,586.35,587.65,0.00955060970410168,-0.416100543478248,576.479260652046,0.381952291720911,,,,,,
"xauusd",2006-04-05,"2006-04-05","00:00",586.35,589.85,582.35,588.95,586.1,0.0127345275490279,0.443421164833291,578.74666780622,0.393319813727344,,,,,,
"xauusd",2006-04-06,"2006-04-06","00:00",588.95,597.15,586.95,596.1,592.05,0.0171112229491695,1.214024959674,581.90181911418,0.545169671545565,,,,,,
"xauusd",2006-04-07,"2006-04-07","00:00",596.1,598.55,585.35,588.85,591.95,0.0224165746794598,-1.21623888609294,583.165124729783,0.217099444288871,,,,,,
"xauusd",2006-04-09,"2006-04-09","00:00",588.85,591.65,588.85,591.25,590.25,0.0047357293868921,0.407574085081097,584.635102051641,0.252068798273664,,,,,12.825102051641,
"xauusd",2006-04-10,"2006-04-10","00:00",591.25,600.85,588.85,599.55,594.85,0.0200150112584438,1.40380549682875,587.346901678615,0.463844818324777,75.6756756756757,,,,12.8949969167105,0.544984864744658
