"Symbol","Timestamp","Date","Time","Open","High","Low","Close","HL2","CandleSize","Change","EMA","EMAChange","RSI","RSIChange","SlowRSI","SlowRSIChange","MACD","MACDChange"
"usb05yusd",2003-02-26,"2003-02-26","00:00",113.953,113.953,113.953,113.953,113.953,0,,,,,,,,,
"usb05yusd",2003-03-31,"2003-03-31","00:00",113.969,113.984,113.812,113.812,113.898,0.00151126419006781,-0.123735224171373,,,,,,,,
"usb05yusd",2003-04-01,"2003-04-01","00:00",113.903,114.028,113.558,113.84,113.793,0.0041286015460295,0.0246019751871662,,,,,,,,
"usb05yusd",2003-04-02,"2003-04-02","00:00",113.493,113.508,113.163,113.319,113.3355,0.00304450268710454,-0.457659873506677,,,,,,,,
"usb05yusd",2003-04-03,"2003-04-03","00:00",113.207,113.567,113.16,113.473,113.3635,0.00358675632088688,0.135899540235962,,,,,,,,
"usb05yusd",2003-04-04,"2003-04-04","00:00",113.423,113.548,113.063,113.375,113.3055,0.00427783902976846,-0.086364157112262,,,,,,,,
"usb05yusd",2003-04-07,"2003-04-07","00:00",112.818,112.973,112.645,112.958,112.809,0.00290373413127006,-0.367805953693501,,,,,,,,
"usb05yusd",2003-04-08,"2003-04-08","00:00",113.018,113.409,113.002,113.377,113.2055,0.00358979334432919,0.370934329573824,,,,,,,,
"usb05yusd",2003-04-09,"2003-04-09","00:00",113.563,113.719,113.233,113.609,113.476,0.00427783010148835,0.204627040757832,,,,,,,,
"usb05yusd",2003-04-10,"2003-04-10","00:00",113.669,113.7,113.449,113.464,113.5745,0.00221215539730668,-0.127630733480621,113.518,,,,,,,
"usb05yusd",2003-04-11,"2003-04-11","00:00",113.243,113.383,112.929,113.226,113.156,0.00400967975553312,-0.209758161178875,113.464909090909,-0.0467687142928108,,,,,,
"usb05yusd",2003-04-14,"2003-04-14","00:00",113.076,113.123,112.809,112.918,112.966,0.00278077897235168,-0.272022327027355,113.36547107438,-0.0876376822804725,,,,,,
"usb05yusd",2003-04-15,"2003-04-15","00:00",112.994,113.26,112.978,113.134,113.119,0.00249261937171859,0.191289254149019,113.323385424493,-0.0371238698066212,,,,,,
"usb05yusd",2003-04-16,"2003-04-16","00:00",113.022,113.272,112.943,113.24,113.1075,0.0029053338043095,0.0936942033340937,113.308224438221,-0.0133785151358201,,,,,,
"usb05yusd",2003-04-17,"2003-04-17","00:00",113.269,113.457,113.096,113.112,113.2765,0.00319152698210614,-0.113034263511125,113.272547267636,-0.0314868322777273,,,,,,
"usb05yusd",2003-04-21,"2003-04-21","00:00",113.005,113.035,112.723,113.02,112.879,0.00276057334984956,-0.0813353136714046,113.226629582611,-0.0405373465436232,,,,,,
"usb05yusd",2003-04-22,"2003-04-22","00:00",113.205,113.315,112.985,113.094,113.15,0.00291792668046049,0.0654751371438556,113.202515113045,-0.0212975248442326,,,,,,
"usb05yusd",2003-04-23,"2003-04-23","00:00",113.076,113.169,112.966,113.044,113.0675,0.00179576094264183,-0.0442110103100024,113.173694183401,-0.0254596195286338,,,,,,
"usb05yusd",2003-04-24,"2003-04-24","00:00",113.308,113.636,113.245,113.51,113.4405,0.00344463042903701,0.412228866636011,113.23484069551,0.0540289088821755,,,,,,
"usb05yusd",2003-04-25,"2003-04-25","00:00",113.508,113.867,113.461,113.757,113.664,0.00356901113777619,0.217601973394421,113.329778750872,0.0838417352634124,,,,,-0.0319712491284321,
"usb05yusd",2003-04-28,"2003-04-28","00:00",113.732,113.873,113.544,113.653,113.7085,0.00289477620476369,-0.091422945401165,113.388546250713,0.0518553027185398,46.414913957935,,,,-0.000941844525002011,-97.0540890622743
"usb05yusd",2003-04-29,"2003-04-29","00:00",113.432,113.54,113.259,113.493,113.3995,0.00247592362524566,-0.140779389897328,113.407537841493,0.0167491262631048,44.6188449259939,-3.86959465995964,,,0.00819146961043771,-969.726307579291
"usb05yusd",2003-04-30,"2003-04-30","00:00",113.491,113.975,113.334,113.959,113.6545,0.005624829982713,0.410598010449981,113.507803688494,0.0884119776425107,50.4921416639737,13.1632648664961,,,0.055156971076741,573.346465284557
"usb05yusd",2003-05-01,"2003-05-01","00:00",114.129,114.348,113.972,114.019,114.16,0.00329769599803546,0.0526505146587919,113.600748472404,0.0818840475191429,51.19365821068,1.38935787547874,,,0.0941633471219205,70.7188507340426
"usb05yusd",2003-05-02,"2003-05-02","00:00",114.016,114.063,113.687,113.796,113.875,0.00330415831839436,-0.195581438181358,113.636248750149,0.031250038597519,48.5047377966637,-5.25244826800692,,,0.102100303464923,8.42892333969976
