"Symbol","Timestamp","Date","Time","Open","High","Low","Close","HL2","CandleSize","Change","EMA","EMAChange","RSI","RSIChange","SlowRSI","SlowRSIChange","MACD","MACDChange"
"eurjpy",2002-06-24,"2002-06-24","00:00",118.205,118.205,118.205,118.205,118.205,0,0.318255113298815,118.069439812821,0.0255207224443943,55.2843377506566,3.54737182832237,56.2991964374194,-0.398983224082894,0.414394147001673,-6.2795073197383
"eurjpy",2002-06-25,"2002-06-25","00:00",118.83,118.83,118.83,118.83,118.83,0,0.528742438983132,118.207723483217,0.11712062885656,58.2599242587233,5.38233183055785,56.6556924049292,0.633216795387237,0.440777404618743,6.36670614388852
"eurjpy",2002-06-26,"2002-06-26","00:00",117.7,117.7,117.7,117.7,117.7,0,-0.950938315240257,118.115410122632,-0.0780941869657381,51.7109905871244,-11.2408894363062,55.7566557107829,-1.58684265602251,0.354839861043175,-19.4968123762835
"eurjpy",2002-06-27,"2002-06-27","00:00",118.19,118.19,118.19,118.19,118.19,0,0.416312659303308,118.128971918517,0.01148181754691,54.0677354285528,4.55753180256258,55.4495792958319,-0.550743962377842,0.32750358660337,-7.70383416323065
"eurjpy",2002-06-28,"2002-06-28","00:00",118.5,118.5,118.5,118.5,118.5,0,0.262289533801519,118.196431569696,0.0571067792118019,55.5136190999721,2.67420793558109,55.4612228965847,0.0209985375914989,0.328436412250042,0.28482913923058
"eurjpy",2002-06-30,"2002-06-30","00:00",118.68,118.68,118.68,118.68,118.68,0,0.151898734177225,118.284353102478,0.0743859451718842,56.3533755784538,1.51270353490991,55.6234324751064,0.292473858400344,0.339024150503647,3.22367979270961
"eurjpy",2002-07-01,"2002-07-01","00:00",118.6,118.6,118.6,118.6,118.6,0,-0.0674081563869389,118.341743447482,0.0485189659482632,55.86006368063,-0.875390147901711,55.6664563306561,0.0773484368642663,0.334064871886113,-1.46280983527766
"eurjpy",2002-07-02,"2002-07-02","00:00",118.27,118.27,118.27,118.27,118.27,0,-0.278246205733557,118.328699184304,-0.0110225376089845,53.8145530550791,-3.66184800154499,55.3297466441876,-0.604869985738832,0.296037615907125,-11.3831950555857
"eurjpy",2002-07-03,"2002-07-03","00:00",117.47,117.47,117.47,117.47,117.47,0,-0.676418364758602,118.172572059885,-0.131943582153049,49.215633287346,-8.54586632546421,54.2180896702164,-2.00914886005171,0.193497307526016,-34.637594302637
"eurjpy",2002-07-04,"2002-07-04","00:00",117.49,117.49,117.49,117.49,117.49,0,0.0170256235634492,118.048468048997,-0.105019302470011,49.3295865977648,0.231538848140955,53.3292709297706,-1.6393398326131,0.115971844481564,-40.0653962763946
"eurjpy",2002-07-05,"2002-07-05","00:00",117.15,117.15,117.15,117.15,117.15,0,-0.28938633075154,117.885110221906,-0.138381996641002,47.4253000121007,-3.86033355842141,52.2558216720125,-2.01287067879062,0.0271374654403047,-76.5999535821656
"eurjpy",2002-07-07,"2002-07-07","00:00",117.01,117.01,117.01,117.01,117.01,0,-0.1195049082373,117.725999272469,-0.134971201314571,46.6448341726056,-1.64567401639207,51.2356421266658,-1.95227921541438,-0.0512141738575878,-288.721286334737
"eurjpy",2002-07-08,"2002-07-08","00:00",117.28,117.28,117.28,117.28,117.28,0,0.230749508589012,117.644908495656,-0.0688809416047875,48.3697202375173,3.69791445399699,50.7145654195479,-1.0170199601084,-0.0849512891152102,65.8745669732678
"eurjpy",2002-07-09,"2002-07-09","00:00",117.26,117.26,117.26,117.26,117.26,0,-0.0170532060027262,117.57492513281,-0.0594869457093528,48.2480997390559,-0.251439325810054,50.2661171140039,-0.884259387483854,-0.110186101031204,29.7050370616155
"eurjpy",2002-07-10,"2002-07-10","00:00",116.32,116.32,116.32,116.32,116.32,0,-0.801637387003251,117.346756926844,-0.194061961517444,42.9102264241599,-11.0633855918995,48.9286824431231,-2.66070814232063,-0.208343713297467,89.0834790845952
"eurjpy",2002-07-11,"2002-07-11","00:00",115.7,115.7,115.7,115.7,115.7,0,-0.533012379642361,117.047346576509,-0.255150085248623,39.8493256175721,-7.13326649999788,47.2778902930229,-3.37387411160959,-0.331077812190728,58.9094323753485
"eurjpy",2002-07-12,"2002-07-12","00:00",115.84,115.84,115.84,115.84,115.84,0,0.1210025929127,116.827829017144,-0.187545951092349,40.8521846693625,2.51662741150176,46.1095801796301,-2.4711553458747,-0.404078763108402,22.0494845107951
"eurjpy",2002-07-14,"2002-07-14","00:00",115.84,115.84,115.84,115.84,115.84,0,0,116.648223741299,-0.153735011045997,40.8521846693625,-2.22044604925031e-14,45.1536900868542,-2.07308348731883,-0.451121393214407,11.6419456801262
"eurjpy",2002-07-15,"2002-07-15","00:00",116.77,116.77,116.77,116.77,116.77,0,0.802831491712697,116.670364879245,0.0189811188164191,47.3172847278269,15.8255919745535,45.5470709306674,0.871204198497488,-0.397614051981805,-11.8609629331349
"eurjpy",2002-07-16,"2002-07-16","00:00",117.31,117.31,117.31,117.31,117.31,0,0.462447546458855,116.786662173928,0.0996802356820314,50.6164641195423,6.97246135464573,46.4687787831901,2.02363803794483,-0.304366382896532,-23.4518042359176
"eurjpy",2002-07-17,"2002-07-17","00:00",117.15,117.15,117.15,117.15,117.15,0,-0.136390759526039,116.85272359685,0.0565658969034155,49.6467773701626,-1.91575363124844,47.0465967080942,1.24345407827482,-0.243921287895802,-19.8593203446119
"eurjpy",2002-07-18,"2002-07-18","00:00",117.9,117.9,117.9,117.9,117.9,0,0.640204865556981,117.043137488332,0.162952035366137,53.9954628518474,8.75925027169713,48.3100269160493,2.68548693499389,-0.130017407390582,-46.6969822469439
"eurjpy",2002-07-19,"2002-07-19","00:00",117.23,117.23,117.07,117.07,117.15,0.00136670368155813,-0.703986429177283,117.048021581362,0.00417289995415793,49.059756230605,-9.14096548220181,48.4463413368776,0.282165897082143,-0.115309038576925,-11.3126150635141
"eurjpy",2002-07-21,"2002-07-21","00:00",117.11,117.11,117.11,117.11,117.11,0,0.0341675920389584,117.059290384751,0.00962750436650506,49.2948830404456,0.47926616009959,48.6006216466172,0.318456059801964,-0.0989611285273924,-14.1774749415037
"eurjpy",2002-07-22,"2002-07-22","00:00",117.22,117.22,117.22,117.22,117.22,0,0.0939287849030856,117.088510314796,0.02496164973258,49.9634388628384,1.35623776983964,48.8484065950211,0.509839051453964,-0.0756220067413125,-23.5841305908508
"eurjpy",2002-07-23,"2002-07-23","00:00",116.24,116.24,116.24,116.24,116.24,0,-0.836034806347041,116.934235712106,-0.131758959333805,44.4652865445832,-11.0043512684324,48.0514756767596,-1.63143687545105,-0.141884007380341,87.6226425274554
"eurjpy",2002-07-24,"2002-07-24","00:00",116.17,116.17,116.17,116.17,116.17,0,-0.0602202339986202,116.79528376445,-0.118829140849519,44.1004020966504,-0.820605187300294,47.3330986621943,-1.49501551086134,-0.194538838894431,37.1111815110642
"eurjpy",2002-07-25,"2002-07-25","00:00",116.915,116.915,116.915,116.915,116.915,0,0.641301540845318,116.817050352732,0.0186365301578784,48.8067257743114,10.6718384729159,47.6010308643974,0.566056754735755,-0.165646288389382,-14.8518160534141
"eurjpy",2002-07-26,"2002-07-26","00:00",117.29,117.29,117.23,117.23,117.26,0.000511814381984153,0.269426506436288,116.892132106781,0.0642729411691079,50.6557407067019,3.78844288990123,48.1564326539073,1.16678521331206,-0.114117235186256,-31.1078827688534
